"ch43tab";"i.id0";"ET";"i.name.no";"Status";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"ECT2";"Egenskap";"Dir";"Ref.verdi";"Merknad";"i.description";"i.cpl.issues";"i.comments.all"
"opn";"vs.56";"";"Soil water content during growing sea-son";"1";"";;;;"A1";"A1";"af";"na";"";"";"";"";" ### "
"opn";"fj.16";"f";"Areal av isbreer";"3";"NVE (Liss Marie Andreassen)";"1966";"Inf";"ingen (nasj)";"A1";"A1";"af";"p";"sta";"forutsetter at isbreer ikke inngår i arealregnskap";"The indicator is the estimated area of glaciers and perennial snow fields based on satellite imagery; see Andreassen et al. 2022";"conflated with extent (e)";"BC: This indicator does not fully comply with SEEA EA EC accounts (framework conformity: this is rather an ecosystem extent indicator); EF: note that the area of sub-units of ecosystem types in extent accounts (where these sub-units are not part of extent accounts) may be used as conditon variables ### d.temp.aggr: Only two datapoints: data from 1947-1985 (midyear: 1966) for the first estimate and from 2018-2019 for the second ## d.spat.res: irregular intervals (only two 'data points' so far)"
"opn";"fj.18, v.27";"f";"Snødekkets varighet";"3";"Senorge*";"1960";"5";"~1 km";"A1";"A1";"af";"p";"sta";"";"The indicator is the mean number of days with snow cover during October-June for the last 5 yrs, calculated as the deviation form the values of the same metric for the normal period 1961-1990, based on interpolated observations and terrain modelling by Senorge.";"lack of sensitivity (stable) (x)";"BC: This indicator does not fully comply with SEEA EA EC accounts (climatic variables are discouraged), in addition the three variables on winter precipitation might be slightly redundant ### i.name.no: status is ""1"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## n53: IndiPri assigns this to våtmark & seminat (& not åpent) ## n71: BC: mountain SVL only ## ect.s2: BC: may be seen as out of ECT (""ancillary data"")"
"opn";"fj.17";"f";"Snødybde";"3";"Senorge*";"1960";"5";"~1 km";"A1";"A1";"af";"p";"sta";"";"The indicator is the mean snow depth per km2 for the period Dec-May for the last 5 yrs, calculated as the deviation from the values of the same metric for the normal period 1961-1990, based on interpolated observations and terrain modelling by Senorge.";"lack of sensitivity (stable) (x)";"BC: This indicator does not fully comply with SEEA EA EC accounts (climatic variables are discouraged), in addition the three variables on winter precipitation might be slightly redundant ### i.name.no: status is ""1"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## n71: BC: mountain SVL only ## ect.s2: BC: may be seen as out of ECT (""ancillary data"")"
"opn";"fj.19";"f";"Vinterregn";"3";"Senorge*";"1960";"5";"~1 km";"A1";"A1";"af";"n";"sta";"";"The indicator is the cumulative precipitation during days with mean daily temperature >2C during Jan-March for the last 5 yrs, calculated as the deviation from the values of the same metric during the normal period 1961-1990, based on inetrpolated observation data and terrain modelling by Senorge.";"lack of sensitivity (stable) (x)";"BC: This indicator does not fully comply with SEEA EA EC accounts (climatic variables are discouraged), in addition the three variables on winter precipitation might be slightly redundant ### i.name.no: status is ""1"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## n71: BC: mountain SVL only ## ect.s2: BC: may be seen as out of ECT (""ancillary data"")"
"opn";"!e.11.1";"";"Share of artificial impervious area cover";"M";"";;;"";"A1";"A1, C1";"";"n";"";"";"Share of artificial impervious area cover";"other issues (o)";" ### "
"opn";"!e.02.1, !e.03.1, e.05.2";"";"Soil organic carbon stock in topsoil";"MV";"";;;"";"A2";"A2";"";"p";"";"";"Soil organic carbon stock in topsoil";"";"BC: unit in forests should be the same as in the mandatory indicator
BC: the description of the mandatory indicators says ""Carbon stored between (…) 0 and 2 or more meters can be reported on a voluntary basis"" (--> missing from Table 3) ### "
"opn";"!e.02.2, !e.03.2";"";"Common farmland birds index";"M";"";;;"";"B1a";"B1a, B1b";"";"p";"";"";"Common farmland birds index";"early aggregation (q)";" ### "
"opn";"e.02.3";"";"Area with polluted or salinised soils";"V";"";;;"";"A2";"A2";"";"n";"";"";"Cropland area with polluted or salinised croplands; threshold to be set by country based on requirements for land uses for agricultural purposes";"early aggregation (q)";" ### "
"opn";"e.02.4";"";"Area facing seasonal drought";"V";"";;;"";"A1";"A1";"";"n";"";"";"Cropland area facing seasonal drought based on the Copernicus Soil Water Index";"quantifies change/trend (t), early aggregation (q)";"BC: The share (relative area, in % of all croplands, grasslands, etc.) would be much more in line with the concept/definition of condition than the absolute area (1000 ha, which implies an extent account). It seems that some ETs (agroecosystems, wetlands) typically filled in this table with ""1000 ha"" as reporting units, while others predominantly have ""% (of the ET area)"" even for the same indicators. IMHO this could (and should) be easily harmonised (to %) without any negative side effects. (This comment pertains to ~all indicators in Table 3 which have ""1000 ha"" or ""km2"" as unit.) ### "
"opn";"e.02.5, e.03.3";"";"Area on drained peatlands";"V";"";;;"";"A1";"A1, X";"";"n";"";"";"Area on drained peatlands (irrespective of drainage level, with peatlands defined as having at least 40 centimetre depth of organic soil in the first meter of the soil profile)";"lack of sensitivity (stable) (x), quantifies change/trend (t), unclear directionality (d), unclear link to ECT (i)";" ### "
"opn";"e.02.6, e.03.6";"";"Land under agri-environmental schemes";"V";"";;;"";"B3";"B3";"";"p";"";"";"Land under agri-environmental schemes (under the new CAP, the term is 'agri-environmental-climate-scheme' The new regulation also includes the reporting of areas under eco-scheme (more ambitious than agri-environmental-climate measures) Note that CAP indicators are reported together for cropland and grassland.";"quantifies responses (r)";"[EF4]Grassland? 
[LG5]Is it the same as cropland over or is it a typo? ### why just the linear LF?"
"opn";"e.02.7";"";"Cropland with pollination deficit";"V";"";;;"";"B3";"B3, X";"";"n";"";"";"Cropland with pollination deficit, indicating areas where pollination demand is not met, i.e areas where pollination deficit is reducing crop yields at present";"conflated with services (s), early aggregation (q)";" ### "
"opn";"e.02.8, e.03.8";"";"Length of linear landscape features per area";"V";"";;;"";"C1";"C1, B2";"";"p";"";"";"Length of linear landscape features (elements) such as hedgerows per area Both CAP and NRL have as indicator the share of linear landscape elements CAP indicators are reported together for cropland and grassland The methodology is currently being developed by JRC D5 (a technical report will be published soon) The cap indicator is defined as 'share of agricultural land covered with landscape features'";"";"[EF2]Needs more precise specification of which types of linear elements to include
BC: ""landscape features"" (LF) is a better (more recent, better defined) term (with a relatively solid grounding in the CAP & the NRL, as well as the LUCAS surveys, EMBAL etc). This indicator is most meaningful in countries / regions dominated by intensive  agriculture, and does not have a clear meaning in landscapes with a lot of abandoned / marginal / extensive agriculture. A consistent definition and delineation of LF is key for this indicator (good resources on the LF definition and data sources: https://data.europa.eu/doi/10.2760/59418, https://data.europa.eu/doi/10.2760/101979) ### "
"opn";"e.03.4";"";"Area exposed to soil erosion";"V";"";;;"";"A1";"A1, X, B3";"";"n";"";"";"Grassland area exposed to soil erosion (with erosion rates >10 ton ha/year)";"lack of sensitivity (stable) (x), conflated with services (s), unclear link to ECT (i)";" ### "
"opn";"e.03.5";"";"Grassland butterfly indicator";"V";"";;;"";"B1a";"B1a, B1b";"";"p";"";"";"Grassland butterfly indicator: butterfly species richness per 10 by 10km grid (average across all grasslands)";"early aggregation (q)";" ### "
"opn";"e.03.7";"";"Average NPP in grasslands";"V";"";;;"";"B3";"B3";"";"u";"";"";"Average NPP in grasslands Note that NPP varies between types of grassland and an average value may not be meaningful – in these cases the indicator may be assessed by eco-region or grassland type.";"unclear directionality (d)";"BC: I merged all productivity indicators into two (three) rows: one about cumulative production (NPP: a modelled synthetic property) and two about greenness (NDVI & chlorophyll: much simpler indicators on maximum production rates, FWIW the original ECT classifies these as B2 (structural), but for me it is fine to have them here, too). An important aspect to mention for NDVI and chlorophyll is that it is not the daily values that are interesting as condition variables, but the annual maxima (~the maximum productivity of each ET). In principle, these vars can be calculated for (m)any ETs, but directionality should always be critically examined (and only variables with a clear directionality should be used). ### "
"opn";"e.05.1";"";"Vegetation water content";"V";"";;;"";"A1";"A1";"";"u";"";"";"Vegetation water content - Normalized difference water index (NDWI) Note that NDWI varies between ecosystem subtypes and an average value may not be meaningful – in these cases the indicator may be assessed by eco-region or subtype";"";"BC: (data) FWIW, similar indices can be produced from several other satellite sensors (e.g. Landsat, Sentinel 2) some with much higher spatial resolution (but shorter time series). ### "
"opn";"e.05.3";"";"Species richness of threatened forest birds";"V";"";;;"";"B1b";"B1b";"";"p!!";"";"";"Species richness of threatened forest birds";"quantifies responses (r)";"The proportion of threathened breeding forest bird species of all breeding forest bird species may be a better measure of condition. Different types of forests vary a lot in overall bird species richness. The (local) extinction of a thretened species might mean that this proportion will go down. Will this be recorded as an improvement in condition? 
(unit) The number of threatened species (per se) does not seem to be a good indicator (from a directionality perspective). What would this number indicate? Is it better to have a higher number of threatened species? Or is it or worse? (IMHO it is relatively easy to improve the directionality of this indicator: the number of species with some kind of ""favourable status"" among the species that bred in the given ET (or ET subtype) in 19XX. The calcualtion could be performed separately for each ET subtype (e.g. forest type) if data allow this, and then aggregated for the whole ET (all forest). In countries where there is BD reporting it could be used, in other countries (like NO) other/ national data could be used istead. ((The same goes for the indicators e.5, f.3, h.5 & i.3, which could be harmonised to e.g. ""Share of native bird species in a satisfactory status"" -- where the idea is to ""define"" a meaningful metric without tying the title too closely to either of the two the data source (PECBMS vs Art 12 or its underlying MS data, which is often again PECBMS), but feel free to change the wording.)) ### "
"opn";"e.05.4";"";"Ecosystem productivity - Normalized difference vegetation index (NDVI)";"V";"";;;"";"B2";"B2, B3";"";"u";"";"";"Ecosystem productivity - Normalized difference vegetation index (NDVI) Note that NDVI varies between ecosystem subtypes and an average value may not be meaningful – in these cases the indicator may be assessed by eco-region or subtype";"unclear directionality (d)";"BC: Could this be 3-5 for both the NPP(Modis) and the NDVI-based productivity indicators? (And then the MS would choose... and after a few years of experience more cncrete recommendations could be made) ### "
"opn";"e.05.6";"";"Ecosystem connectivity";"V";"";;;"";"C1";"C1";"";"p";"";"";"Ecosystem connectivity";"";" ### "
"opn";"e.05.7";"";"Landscape naturalness";"V";"";;;"";"C1";"C1";"";"p";"";"";"Landscape naturalness";"";"BC: Is this based on the share of ""natural"" component in the landscape mosaic? An interesting idea for an indicator (I have some questions about the calibration of the metric (window radius, threshold for ""natural area"") and the meaning of the values. But it can stay, at least this option will be explored by some MS. It could probably be recommended for other terrestrial ETs, too. (e.g. wetland, grassland...)
BC: (e.8) the unit and the data source should be the same as that of (f.7) (the current ones seem to belong to another line))) ### "
"opn";"e.05.5";"";"Burnt area / fire overall recurrence";"V";"";;;"";"B3";"B3";"";"u";"";"";"Burnt area / fire overall recurrence : area burnt at least once during accounting period";"";" ### "
"opn";"e.06.1";"";"Volume covered by glaciers";"V";"";;;"";"A1";"A1";"";"p";"";"";"Volume covered by glaciers (area is included in extent accounting)";"";"[EF10]If this is meant to apply only to class 6.3, then it is an expression of extent and belongs under extent accounting. Hence, to be relevant as a condition indicator it must apply to class 6 as a whole, i.e. as a measure of the condition of class 6. The indicator should then probably be expressed as the proportion of area of class 6 covered by glaciers and permanent snow fields.
BC: was the text that was forgotten below the reporting unit your comment in the previous round, Erik? (Anyway, I agree) ### "
"opn";"e.06.2";"";"Pressure by Invasive Alien Species of EU concern";"V";"";;;"";"B1a";"B1a";"";"n";"";"";"Pressure by Invasive Alien Species of EU concern on Sparsely vegetated lands ecosystems";"quantifies responses (r)";"BC: This was originally proposed for the (desert subtype of) SVL ecosystems, but it could be meaningful for other (terrestrial) ETs, too. ### "
"opn";"e.06.3";"";"Fraction of green vegetation cover";"V";"";;;"";"B2";"B2";"";"u";"";"";"Fraction of green vegetation cover Note that the fraction varies between ecosystem types and an average value may not be meaningful – in these cases the indicator may be assessed by eco-region or ecosystem type.";"";"BC: what is the directionality of this indicator? Is more vegetation always better (also in arctic/alpine SVL?) ### "
"opn";"e.11.2";"";"Beach litter";"V";"";;;"";"A1";"A1, A2";"";"n";"";"";"Beach litter – to be specified if this includes Marine macro and/or macro litter";"";" ### "
"opn";"e.11.3";"";"Percentage of species with good population status";"V";"";;;"";"xx";"xx, B1b";"";"p";"";"";"Percentage of species with good population status";"early aggregation (q)";"BC: (1) Is there any taxonomic scope for this indicator? (IMHO there should be some focus specified in the name, and if it covers multiple distinct taxa/guilds then it should be broken up into several indicators) (2) Could this/these HD-based variables be relevant for other ETs? ### "
"opn";"e.11.4";"";"Percentage of coastal wetland birds with increasing or stable population trends";"V";"";;;"";"B1b";"B1b";"";"p!!";"";"";"Percentage of coastal wetland birds with increasing or stable population trends";"early aggregation (q)";" ### "
"opn";"e.11.5";"";"Percentage of beaches with water with quality for swimming";"V";"";;;"";"A2";"A2, X, B3";"";"p";"";"";"Percentage of beaches with water with quality for swimming";"conflated with services (s), early aggregation (q), unclear link to ECT (i)";" ### "
"for";"sk.04, fj.09, vs.29";"";"Fravær av fremmede planter";"2";"MDir";"2020";"3";"fylke/region";"B1a";"B1a";"fs, bm";"p";"abs";"";"A (reversed) cover of alient plants: the indicator is the proportion of the area without such alien species (i.e., 100% - total cover (%) of alien species). The indicator used for in the forest and mountains is different from the one developed for wetlands, semi-natural and naturally open ecosystems. The first one is based on ANO data, while the second one uses mainly nature mapping data and a special stratified aggregation technique.";"";" ### d.temp.res: ALK: The original units are %cover recorded along an ordinal four-step scale. ## d.temp.aggr: ALK: The data series starts in 2018, but the years 2018-2022 are pooled, and then the indicator is either set to represent 2020 or 2022 ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: for historical reasons the indicator is the _inverted cover_ (absence) of invasies, which is thus positive. As the SEEA EA can nicely handle negative indicators, and the _cover_ of invasives gives a simpler & more intuitive indicator, it might make sense to use the simpler version in the future."
"for";"sk.03, vs.30";"";"Vegetasjon og fuktighet";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A1";"A1, B1a, B1a";"af";"u";"mod";"";"The indicator is the mean ""moisture affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition. (Previous versions of this indicator used in the forest assessment relied on Ellenberg F scores.)";"";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"for";"fj.14, vs.04";"";"Vegetasjon og lys";"1";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"B3";"B3, B1a, B1a";"fg";"u";"mod";"";"The indicator is the mean ""light affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.  (Previous versions of this indicator used in the mountain assessment relied on Ellenberg L scores.)";"unclear directionality (d)";" ### i.name.no: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## ect.s2: Balint: This is intentionally B3.  It is true that there are slight geographical differences in the amount of (total) light available to the vegetation (due to climatic and astronomical factors). But this indicator does not measure that one. Instead it measures how much light the ""focal layer"" of vegetation (typically the herbaceous layer) gets due to the closedness of canopy above it. Thus this is B3. ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"for";"vs.41";"";"Vegetasjon og pH";"1";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A2";"A2, B1a, B1a";"af";"u";"mod";"";"The indicator is the mean ""acidity affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"lack of sensitivity (stable) (x), unclear directionality (d)";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"for";"fj.15";"";"Vegetasjonens varmekrav";"1";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A1";"A1, B1a, B1a";"af";"n";"mod";"";"The indicator is the relative cumulative cover of plant species with heat requirements above a specified threshold, based on cover data of all occurring vascular plant species collected in the ANO programme from selected NiN nature types (T3, T7, T14, T22), and values for heat requirements for Swedish plants from Tyler et al. (2021).";"lack of sensitivity (stable) (x), unclear directionality (d)";" ### i.name.no: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Erik: this is a climate response metric with a unilateral (negative) interpretation, assuming that this a clear climate response and the current trends can go in one direction only"
"for";"sk.02, fj.13, vs.03";"";"Vegetasjon og nitrogen";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A2";"A2, B1a, B1a";"af";"u";"mod";"";"The indicator is the mean ""nitrogen affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.  (Previous versions of this indicator used in the forest & mountain assessments relied on Ellenberg N scores.)";"";"May be correlated with NDVI (productivity). ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"for";"sk.05";"";"Blåbærdekning";"3";"NIBIO";"2010";"1";"fylke/region";"B1a";"B1a, B2";"fs";"p";"mdc";"jf. kronetetthet for blåbær";"The indicator is the percentage cover of bilberries, estimated as an area-weighted average of observations per NFI plot.";"";"Some correlation with dead wood indicators may be expected. ### d.temp.aggr: The National Forest Inventory has recorded bilberry cover since 2008, but only data starting at the 10th inventory (2010-2014) are used for the evaluation of ecological condition"
"for";"sk.06";"";"Rogn-osp-selje";"3";"NIBIO";"1994";"1";"fylke/region";"B1a";"B1a, B2";"fs";"p";"mdc";"";"The indicator is the volume (m3/ha) of trees > 10 cm dbh for rowan, aspen and goat willow (Sorbus aucuparia, Populus tremula, Salix caprea) on productive forest land, estimated as an area-weighted average of observations per NFI plot.";"";"Some correlation with dead wood indicators may be expected. ### d.temp.aggr: Data starting at the 7th inventory (1994-1998)"
"for";"sk.09";"";"Biologisk gammel skog";"3";"NIBIO";"2000";"1";"fylke/region";"B3";"B3, B2";"fs, lm";"p";"mod";"";"The indicator is the proportion of forest area that satisfies lower age limits for old forest, given for three classes of dominating tree species and three classes of site productivity";"";" ### d.temp.aggr: Data on the share of old-growth forests is available since the 8th assessment (2000-2004) ## ect.s2: Balint: I try to keep all ""ecosystem age"" indicators in B3 as it is suggested by the ECT paper. (It is true that many of them is linked to structure, but this can be reflected as a secondary ECT type in ect.s2)"
"for";"sk.07";"";"Død ved totalt";"3";"NIBIO";"2010";"1";"fylke/region";"B2";"B2, B1a, B1b";"fs";"p";"mod";"";"The indicator is the volume (m3/ha) of standing and fallen dead wood ≥ 10 cm in diameter estimated as an area-weighted average of observations per NFI plot";"";"The various deadwood indicators may eventually be redundant ### d.startdate: National Forest Inventory:  Data collection takes place in a master grid of 250 m2 plots laid out in a regular grid covering all land complying with the FAO forest definition (Tomter & Dalen 2018). Ubnderstory vegetation (incl bilberries) is surveyed in four 0,5x0,5 m sites within the inventory plot. The density of this grid is 3x3 km below the coniferous treeline, 9x9 km above the coniferous treeline, and 1.5x1.5 km in protected areas with forests. In each inventory cycle a stratified random sample of inventory plots (0,003 % of all forested areas) is randomly selected, where the observations/ measurements are performed. ## d.temp.aggr: Data for the volume of dead wood using the current registration method are only available since the 10th inventory (2010-2014), but another estimate (using a different method) is also available for the 7th inventory (1994-1998) ## r.dir: can the subtype (NiN or just dry/wet forest) also be distinguished from the inventory data?"
"for";"sk.08";"";"Grov død ved";"3";"NIBIO";"2010";"1";"fylke/region";"B2";"B2, B1a, B1b";"fs";"p";"mod";"overlapp med død ved totalt";"The indicator is the volume (m3/ha) of standing and fallen dead wood ≥ 30 cm in diameter estimated as an area-weighted average of observations per NFI plot.";"";"The various deadwood indicators may eventually be redundant ### "
"for";"nb.01";"";"Volum av levende og såtende døde trær";"1";"NIBIO";"2010";"1";"fylke/region";"B2";"B2, B1a, B1b";"pr";"u";"mod";"";"volume of living and standing dead trees per hektar";"";"reference level to be decided, the various deadwood indicators may eventually be redundant ### r.hea: NIBIO: p/u"
"for";"nb.02";"";"Volumandel døde trær";"1";"NIBIO";"2010";"1";"fylke/region";"B2";"B2, B1a, B1b";"fs";"p";"mod";"";"share of volume of dead trees of all trees";"";"reference level generally 33% but should probably vary among forest types, the various deadwood indicators may eventually be redundant ### "
"for";"nb.03";"";"Lauvtreinnblanding i barskog";"1";"NIBIO";"1990";"1";"fylke/region";"B2";"B2, B1a, B3, C1";"fs";"p";"mod";"";"% of standing tree volume of deciduous trees in confier-dominanted productive forest, cutting class 3-5";"";"indicator should be aligned with Mdir/Ldir inidcator framework ### "
"for";"nb.04";"";"Eldre lauvsuksesjon (MiS)";"1";"NIBIO";"2010";"1";"fylke/region";"B3";"B3, B2, B1a";"fs";"p";"mod";"";"% of forest area with defined areas for old deciduous tree succession";;"indicator metric and reference level from Nature index ### ect.s2: Balint: I try to keep all ""ecosystem age"" indicators in B3 as it is suggested by the ECT paper. (It is true that many of them is linked to structure, but this can be reflected as a secondary ECT type in ect.s2)"
"for";"nb.05";"";"Volum av edellauvtrær";"1";"NIBIO";"1990";"1";"fylke/region";"B2";"B2, B1a, B3";"fs";"p";"mod";"";"volume of temperate deciduous trees per hektar";"";"indicator should be aligned with Mdir/Ldir inidcator framework ### "
"for";"nb.06";"";"Tetthet av store trær";"1";"NIBIO";"1990";"1";"fylke/region";"B3";"B3, B2, B1b";"fs";"p";"mod";"";"number of large trees per hektar (different diameter criteria per species)";"";"indicator should be aligned with Mdir/Ldir inidcator framework ### ect.s2: Balint: I try to keep all ""ecosystem age"" indicators in B3 as it is suggested by the ECT paper. (It is true that many of them is linked to structure, but this can be reflected as a secondary ECT type in ect.s2)"
"for";"nb.07";"";"Tresjikt";"1";"NIBIO";"1990";"1";"fylke/region";"B2";"B2";"fs";"p";"mod";"";"mean number of tree canopy layers";"";"indicator should be aligned with Mdir/Ldir inidcator framework ### r.hea: is more layers always positive?"
"for";"nb.08";"";"Kronedekke";"1";"NIBIO";"1990";"1";"fylke/region";"B2";"B2";"fs";"u";"mod";"";"% crown cover";"conflated with extent (e)";" ### "
"for";"nb.09";"";"Kronetetthet for blåbær";"1";"NIBIO";"1990";"1";"fylke/region";"B1a";"B1a, B2";"fs";"p";"mod";"";"% area with optimal crown cover for bilberries";"";"indicator should be aligned with Mdir/Ldir inidcator framework; may be most relevant for certain forest types ### ect.s2: ""for bilberries"" (--> B1a, like the bilberries indicator itself)"
"for";"nb.10";"";"Fremmede treslag";"1";"NIBIO";"2000";"1";"fylke/region";"B1a";"B1a";"fs";"n";"abs";"";"number of alien trees per hektar";"";"indicator should be aligned with Mdir/Ldir inidcator framework ### "
"for";"nb.17 (vs)";"";"Barskogsfugler";"1";"Mdir/NINA";"2010";"1";"fylke/region";"B1a";"B1a";"bm";"p";"exp";"";"mean density of defined coniferous forest birds";"";"reference level to be decided ### "
"for";"nb.18 (vs)";"";"Lauvskogsfugler";"1";"Mdir/NINA";"2010";"1";"fylke/region";"B1a";"B1a";"bm";"p";"exp";"";"mean density of deciduous forest birds";"";"reference level to be decided ### "
"for";"sk.11";"";"Store rovdyr";"3";"MDir & NINA";"1990";"1";"fylke/region";"B1a";"B1a, B3";"fb";"p";"mod";"mulig overlapp med hhv biomasse klovdyr og rovdyr";"The indicator is a composite index (‘lynx equivalents’) for the estimated abundance of lynx, brown bear and wolves per 'large carnivore region', adjusted for their metabolic weights.";"";"conceptual connections to the (new) harmonised ETs needs to be clarified ### d.startdate: Population estimates of lynx (Lynx lynx), brown bear (Ursus arctos) and wolves (Canis lupus) based on the Rovdata database (https://rovdata.no/), as reported to the Norwegian Nature Index. The number of lynx is estimated as the number of family groups, whereas the number of brown bears and wolves are estimated as the number of individuals.   Lynx: Track and visual observations of family groups classified as ""Documented"" or ""Assumed certain"" in Rovbase from 1 October to 28 February, number of family groups estimated using distance criteria (Brøseth & Tovmo 2013). Data before 2014 are not directly comparable with data 2014-. For details, see Mattisson et al. (2020) and https://rovdata.no/.   Bear: DNA analysis (Tobiassen et al. 2011) of excrement and hair samples of suspected bear-origin, as well as tissue samples from dead bears. For details, see Fløystad et al. (2020) and https://rovdata.no/.   Wolf: Combination of tracking on snow, DNA analysis, GPS tracking, wildlife cameras, dead wolves. When the population size is calculated, wolf territory located across the national border is divided (50%) between Sweden and Norway. For details, see Wabakken et al. (2020), https://rovdata.no/ and www.naturvardsverket.se.   Data are available per county (wolf, bear) or predator-region (lynx; previously also per county), but are aggregated per region in the Nature Index (cf. Jakobsson & Pedersen 2020) and here. Data are not based on a statistical sampling: all available observation and monitoring data are used for the estimation of population levels. The data for these predators can be considered comprehensive. For more information, see www.naturindeks.no. ## d.spat.res: used to be 10 yrs before 2010 ## r.dir: n31 & n32 can't be distiguished"
