et,lvl,gg,nn,nn_c2,st_max,st0.1,st0.2,st0.3,dir0.n.p,dir0.n.n,dir0.n.u,dir0.n.x,tsd,tsd_c2,trs,trs_c2,srs,srs_c2,etl0.cc,etl0.fo,etl0.so,etl0.lm,cpl_ok.n,cpl0.n.a,cpl0.n.ai,cpl0.n.aqi,cpl0.n.d,cpl0.n.dn,cpl0.n.e,cpl0.n.n,cpl0.n.o,cpl0.n.q,cpl0.n.qo,cpl0.n.r,cpl0.n.s,cpl0.n.sq,cpl0.n.t,cpl0.n.tq,cpl0.n.xd,cpl0.n.xt,ect_s.n,hosts,iid.n,dir_d.n,nm,nv,dir0.e.p,dir0.e.n,dir0.e.u,dir0.e.x,cpl_ok.e,cpl0.e.a,cpl0.e.ai,cpl0.e.aqi,cpl0.e.d,cpl0.e.dn,cpl0.e.e,cpl0.e.n,cpl0.e.o,cpl0.e.q,cpl0.e.qo,cpl0.e.r,cpl0.e.s,cpl0.e.sq,cpl0.e.t,cpl0.e.tq,cpl0.e.xd,cpl0.e.xt,ect_s.e,iid.e,dir_d.e,n,cpl_ok,cpl0.a,cpl0.ai,cpl0.aqi,cpl0.d,cpl0.dn,cpl0.e,cpl0.n,cpl0.o,cpl0.q,cpl0.qo,cpl0.r,cpl0.s,cpl0.sq,cpl0.t,cpl0.tq,cpl0.xd,cpl0.xt,dir0.p,dir0.n,dir0.u,dir0.x,ect_s,id,et_label
all,chr,"B2 | Deadwood, litter",2,2,3,0,0,2,2,0,0,0,2010,2010,5,5,8,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1b,NIBIO,"sk.07, sk.08",p,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,!e.e1,p,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,B1b,"!e.e1, sk.07, sk.08",all: All ecosystem types
all,chr,B2 | Phytoplankton density,3,3,2,0,3,0,1,2,0,0,0,0,1,1,9,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B1a, B3","NIVA, Vannmiljø","KLFA, MSMDI, PPBIOMTOVO",n,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B3,"e.j5, e.k4, e.l4",x,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,"B1a, B3","KLFA, MSMDI, PPBIOMTOVO, e.j5, e.k4, e.l4",all: All ecosystem types
all,chr,B2 | Total vegetation cover,2,1,3,0,0,2,0,0,2,0,2000,2000,1,1,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B3,NASA,"fj.01, sk.01",u,1,3,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"B3, C1","!e.a1, e.e6, e.f4, e.g3",x,6,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,"B3, C1","!e.a1, e.e6, e.f4, e.g3, fj.01, sk.01",all: All ecosystem types
all,chr,B2 | Tree & shrub layer cover,1,0,2,0,1,0,0,1,0,0,2010,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,NINA,"vs.05, vs.28",n,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"!e.e2, e.a5",x,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,"!e.e2, e.a5, vs.05, vs.28",all: All ecosystem types
all,chr,B3 | Disturbance intensity / ecosystem age,5,4,3,0,3,2,2,0,3,0,2000,2000,5,5,8,8,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B1a, B2","MDir, NIBIO, NINA","fj.14, sk.09, vs.04, vs.41c, vs.41d, vs.64",x,0,4,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C1,"e.b5, e.c5, e.f5, e.m6",x,9,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,4,0,"B1a, B2, C1","e.b5, e.c5, e.f5, e.m6, fj.14, sk.09, vs.04, vs.41c, vs.41d, vs.64",all: All ecosystem types
all,chr,B3 | Ecosystem productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,e.c6,u,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,e.c6,all: All ecosystem types
all,chr,B3 | Functions underlying key ES,2,2,2,0,2,0,1,1,0,0,2020,2020,1,1,8,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B1a, B2","NINA, NIVA, Vannmiljø","Cyanomax, vs.45, vs.72",x,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,B1a,"e.a6, e.b6, e.m5",p,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,"B1a, B2","Cyanomax, e.a6, e.b6, e.m5, vs.45, vs.72",all: All ecosystem types
all,chr,B3 | Trophic balance,3,2,2,0,3,0,0,0,2,0,1907,1907,10,10,7,7,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B1a, B2","NINA, NTNU","vs.11, vs.53, vs.71, vs.74",u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"B1a, B2","vs.11, vs.53, vs.71, vs.74",all: All ecosystem types
all,chr,C1 | Agricultural landscape features,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2,"e.b7, e.b8, e.c7, e.c8",x,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,B2,"e.b7, e.b8, e.c7, e.c8",all: All ecosystem types
all,chr,C1 | Landscape connectivity & fragmentation,3,2,3,0,2,1,0,2,1,0,2021,0,1,1,9,9,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,"Statens kartverk, Vannmiljø","barriereeffekt, fj.11, fragmenteringsgrad, vs.02",n,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"e.e7, e.f6, e.j7",x,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,,"barriereeffekt, e.e7, e.f6, e.j7, fj.11, fragmenteringsgrad, vs.02",all: All ecosystem types
all,chr,C1 | Landscape naturalness,1,1,3,0,0,1,1,0,0,0,1988,1988,5,5,8,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MDir,"fj.10, sk.13, vs.02",p,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"e.e8, e.f7",x,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,"e.e8, e.f7, fj.10, sk.13, vs.02",all: All ecosystem types
all,chr,X | unclear / excluded,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Vann-nett,overall ecol status,x,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,"e.c3, e.j2",x,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,,"e.c3, e.j2, overall ecol status",all: All ecosystem types
a,all,all,2,1,2,1,1,0,0,0,2,0,2000,2000,1,1,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B3,NASA,"fj.01, sk.01",u,2,4,21,17,8,0,21,0,0,1,3,1,1,0,3,7,0,3,3,1,0,1,0,1,"A2, B1a, B2, B3, C1","!e.a1, !e.a2, e.a3, e.a4, e.a5, e.a6",p,8,22,0,0,1,3,1,1,0,3,7,0,3,3,1,1,1,0,1,21,17,10,0,"A2, B1a, B2, B3, C1","!e.a1, !e.a2, e.a3, e.a4, e.a5, e.a6, fj.01, sk.01",a: Settlements and other artificial areas
a,cls,A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,5,3,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,"A2, C1","!e.a2, e.a3",n,2,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,1,5,3,0,"A2, C1","!e.a2, e.a3",a: Settlements and other artificial areas
a,cls,A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,3,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,A2,e.a4,p,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,A2,e.a4,a: Settlements and other artificial areas
a,cls,B1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,,a: Settlements and other artificial areas
a,cls,B1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,,,p,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,7,0,0,0,,,a: Settlements and other artificial areas
a,cls,B2,2,1,2,1,1,0,0,0,2,0,2000,2000,1,1,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B3,NASA,"fj.01, sk.01",u,1,1,3,1,2,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"B3, C1","!e.a1, e.a5",p,4,4,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,4,0,"B3, C1","!e.a1, e.a5, fj.01, sk.01",a: Settlements and other artificial areas
a,cls,B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,3,2,2,0,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"B1a, C1",e.a6,p,1,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2,2,0,"B1a, C1",e.a6,a: Settlements and other artificial areas
a,cls,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2,,p,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,B2,,a: Settlements and other artificial areas
a,cls,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,,,a: Settlements and other artificial areas
a,chr,A1 | Air physical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,!e.a2,n,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A2,!e.a2,a: Settlements and other artificial areas
a,chr,A1 | Soil physical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C1,e.a3,n,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,C1,e.a3,a: Settlements and other artificial areas
a,chr,A2 | Air chemical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,e.a4,n,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,e.a4,a: Settlements and other artificial areas
a,chr,B2 | Total vegetation cover,2,1,2,1,1,0,0,0,2,0,2000,2000,1,1,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B3,NASA,"fj.01, sk.01",u,1,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"B3, C1",!e.a1,p,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,"B3, C1","!e.a1, fj.01, sk.01",a: Settlements and other artificial areas
a,chr,B2 | Tree & shrub layer cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,e.a5,p,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,e.a5,a: Settlements and other artificial areas
a,chr,B3 | Functions underlying key ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,B1a,e.a6,p,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,B1a,e.a6,a: Settlements and other artificial areas
b,all,all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,7,21,17,8,0,21,0,0,1,3,1,1,0,3,7,0,3,3,1,0,1,0,1,"A2, B1a, B2, B3, C1","!e.b1, !e.d1, e.b2, e.b3, e.b4, e.b5, e.b6, e.b7, e.b8",p,9,21,0,0,1,3,1,1,0,3,7,0,3,3,1,0,1,0,1,21,17,8,0,"A2, B1a, B2, B3, C1","!e.b1, !e.d1, e.b2, e.b3, e.b4, e.b5, e.b6, e.b7, e.b8",b: Croplands
b,cls,A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,5,3,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,"A2, C1",e.b3,p,1,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,1,5,3,0,"A2, C1",e.b3,b: Croplands
b,cls,A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,3,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,A2,"!e.b1, e.b2",p,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,A2,"!e.b1, e.b2",b: Croplands
b,cls,B1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,,b: Croplands
b,cls,B1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,,!e.d1,p,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,7,0,0,0,,!e.d1,b: Croplands
b,cls,B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,3,1,2,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"B3, C1",,p,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,"B3, C1",,b: Croplands
b,cls,B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,3,2,2,0,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"B1a, C1","e.b5, e.b6",p,2,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2,2,0,"B1a, C1","e.b5, e.b6",b: Croplands
b,cls,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2,"e.b7, e.b8",p,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,B2,"e.b7, e.b8",b: Croplands
b,cls,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,e.b4,n,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,,e.b4,b: Croplands
b,chr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,e.b4,n,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,e.b4,b: Croplands
b,chr,A1 | Water physical availability/permanence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,2,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,,e.b3,n,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,,e.b3,b: Croplands
b,chr,A2 | Soil chemical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,e.b2,n,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,e.b2,b: Croplands
b,chr,A2 | Soil organic carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,!e.b1,p,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,!e.b1,b: Croplands
b,chr,B1b | Birds diversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,!e.d1,p,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,,!e.d1,b: Croplands
b,chr,B3 | Disturbance intensity / ecosystem age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C1,e.b5,p,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,C1,e.b5,b: Croplands
b,chr,B3 | Functions underlying key ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,B1a,e.b6,p,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,B1a,e.b6,b: Croplands
b,chr,C1 | Agricultural landscape features,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2,"e.b7, e.b8",p,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,B2,"e.b7, e.b8",b: Croplands
c,all,all,34,1,3,5,28,1,16,2,14,0,1907,2000,1,1,2,3,8,18,3,2,22,1,0,0,2,0,1,0,4,0,1,0,0,0,1,0,2,0,"B1a, B2, B3","MDir, NASA, NINA, NTNU, Statens kartverk","fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, sk.01, sk.02, sk.03, sk.04, sk.10, sk.12, sk.13, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.16, vs.17, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.52, vs.53, vs.64, vs.71, vs.72, vs.74",x,2,7,21,17,8,0,21,0,0,1,3,1,1,0,3,7,0,3,3,1,0,1,0,1,"A2, B1a, B2, B3, C1","!e.c1, !e.d1, e.c2, e.c3, e.c4, e.c5, e.c6, e.c7, e.c8",p,43,43,1,0,1,5,1,2,0,7,7,1,3,3,1,1,1,2,1,37,19,22,0,"A2, B1a, B2, B3, C1","!e.c1, !e.d1, e.c2, e.c3, e.c4, e.c5, e.c6, e.c7, e.c8, fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, sk.01, sk.02, sk.03, sk.04, sk.10, sk.12, sk.13, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.16, vs.17, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.52, vs.53, vs.64, vs.71, vs.72, vs.74",c: Grasslands
c,cls,A1,2,0,2,0,2,0,0,1,1,0,2019,0,5,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B1a,MDir,"fj.15, sk.03, vs.30",x,0,0,1,5,3,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,"A2, C1",,p,2,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,1,6,4,0,"A2, B1a, C1","fj.15, sk.03, vs.30",c: Grasslands
c,cls,A2,3,0,2,0,3,0,0,0,3,0,2019,0,5,0,8,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B1a,"MDir, NINA","fj.13, sk.02, vs.03, vs.41, vs.41b",u,1,0,3,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,A2,!e.c1,p,4,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,4,3,0,"A2, B1a","!e.c1, fj.13, sk.02, vs.03, vs.41, vs.41b",c: Grasslands
c,cls,B1a,10,0,2,2,8,0,8,0,2,0,1990,0,1,0,7,0,8,2,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"B2, B3","MDir, NINA","fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, sk.04, sk.10, vs.29, vs.48",p,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,10,9,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,8,2,2,0,"B2, B3","fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, sk.04, sk.10, vs.29, vs.48",c: Grasslands
c,cls,B1b,6,0,2,1,5,0,5,0,0,0,1990,0,1,0,8,0,0,4,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"B2, B3","MDir, NINA","fj.12, sk.12, vs.06, vs.16, vs.17, vs.37, vs.38, vs.47, vs.50, vs.52",p,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,,"!e.d1, e.c4",p,8,3,1,0,1,0,0,0,0,2,5,0,1,0,0,0,0,0,0,12,0,0,0,"B2, B3","!e.d1, e.c4, fj.12, sk.12, vs.06, vs.16, vs.17, vs.37, vs.38, vs.47, vs.50, vs.52",c: Grasslands
c,cls,B2,3,1,2,1,2,0,0,1,2,0,2000,2000,1,1,2,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,B3,"NASA, NINA","fj.01, sk.01, vs.05, vs.28",u,0,0,3,1,2,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"B3, C1",,p,3,4,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,3,2,4,0,"B3, C1","fj.01, sk.01, vs.05, vs.28",c: Grasslands
c,cls,B3,8,0,2,0,8,0,2,0,5,0,1907,0,5,0,7,0,0,7,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"B1a, B2","MDir, NINA, NTNU","fj.14, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.53, vs.64, vs.71, vs.72, vs.74",x,0,2,3,2,2,0,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"B1a, C1","e.c5, e.c6",p,10,9,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,5,2,7,0,"B1a, B2, C1","e.c5, e.c6, fj.14, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.53, vs.64, vs.71, vs.72, vs.74",c: Grasslands
