et,lvl,gg,nn,nn_c1,nn_p2,nn_p1p,nn_c2p,st_max,st0.1,st0.2,st0.3,dir0.n.p,dir0.n.n,dir0.n.u,dir0.n.x,tsd,tsd_c2p,trs,trs_c2p,trs0.y1,trs0.y3,trs0.y5,trs0.y10,trs0.yInf,trs0.NA,srs,srs_c2p,srs0.g1,srs0.g2,srs0.g3,srs0.g4,srs0.g5,srs0.g6,srs0.p1,srs0.p2,srs0.pp,srs0.px,srs0.NA,etl0.cc,etl0.fo,etl0.so,etl0.lm,etl0.na,cpl_ok.n,ect_s.n,hosts,iid.n,dir_d.n,nm,nv,dir0.e.p,dir0.e.n,dir0.e.u,dir0.e.x,cpl_ok.e,ect_s.e,iid.e,dir_d.e,n,cpl_ok,cpl0.a,cpl0.d,cpl0.e,cpl0.i,cpl0.n,cpl0.o,cpl0.q,cpl0.r,cpl0.s,cpl0.t,cpl0.x,dir0.p,dir0.n,dir0.u,dir0.x,dir_d,ect_s,iid
all,chr,B2 | Share of deciduous trees,2,2,0,2,0,1,2,0,0,2,0,0,0,1990,0,1,0,2,0,0,0,0,0,p2,NA,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,"B1a, B3, C1",NIBIO,"nb.03, nb.05",p,0,0,0,0,0,0,0,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,p,"B1a, B3, C1","nb.03, nb.05"
all,chr,B2 | Total vegetation cover & productivity,4,4,4,1,1,3,0,2,2,2,0,2,0,2000,2000,1,1,3,1,0,0,0,0,g2,g3,0,1,2,0,0,0,0,0,1,0,0,0,1,3,0,0,1,"A1, A2, B1a, B3, C1","Copernicus, NASA, NIVA, Vannmiljø","ANTIZM, fj.01, sk.01, ur.02",x,1,7,2,0,6,0,2,"A1, B3, C1","!e.01.1, e.04.6, e.05.4, e.06.3",u,12,3,1,1,1,0,0,1,0,0,0,1,0,4,0,8,0,u,"A1, A2, B1a, B3, C1","!e.01.1, ANTIZM, e.04.6, e.05.4, e.06.3, fj.01, sk.01, ur.02"
all,chr,B2 | Tree & shrub layer cover,4,4,2,2,1,2,2,2,0,2,1,1,0,1990,2012,1,3,2,1,0,0,1,0,g2,g2,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,,"Copernicus, NIBIO, NINA","nb.07, nb.08, ur.03, vs.05, vs.28",x,1,3,4,0,0,0,4,,"!e.04.2, e.01.5",p,8,6,0,0,2,0,0,0,0,0,0,0,0,6,1,1,0,p,,"!e.04.2, e.01.5, nb.07, nb.08, ur.03, vs.05, vs.28"
all,chr,B3 | Ecosystem age,4,4,2,2,1,3,2,0,2,3,0,1,0,1990,2000,1,1,4,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,2,"B1a, B1b, B2","MDir, NIBIO","fj.14, nb.04, nb.06, sk.09, vs.04",p,0,2,2,0,0,0,0,"B1, B2",e.04.9,p,6,2,0,1,0,0,0,0,1,1,0,0,0,5,0,1,0,p,"B1, B1a, B1b, B2","e.04.9, fj.14, nb.04, nb.06, sk.09, vs.04"
all,chr,B3 | Ecosystem productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,0,0,2,0,0,,e.03.7,u,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,u,,e.03.7
all,chr,B3 | Farming intensity,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,p1,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,Ldir,nb.19,p,0,4,4,0,0,0,0,,"e.02.6, e.03.6",p,5,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,p,,"e.02.6, e.03.6, nb.19"
all,chr,B3 | Fire frequency / intensity,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,p1,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,B2,DSB,nb.11,u,0,2,0,0,2,0,2,,e.05.5,u,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,u,B2,"e.05.5, nb.11"
all,chr,B3 | Functions underlying key ES,2,2,2,2,2,2,0,2,0,1,1,0,0,2020,2020,1,1,1,0,1,0,0,0,p2,p2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,"B1a, B2","NIBIO, NINA, NIVA, Vannmiljø","Cyanomax, vs.45, vs.72",x,0,4,2,2,0,0,0,"B1a, X","e.02.7, e.12.5",x,6,2,0,0,0,0,1,0,1,0,2,0,0,3,3,0,0,p,"B1a, B2, X","Cyanomax, e.02.7, e.12.5, vs.45, vs.72"
all,chr,B3 | Grazing intensity,1,1,1,1,1,2,0,1,0,0,0,1,0,2019,2019,1,1,1,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,B1a,NINA,vs.41c,u,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,B1a,vs.41c
all,chr,B3 | Soil disturbance,2,2,2,2,2,2,0,2,0,0,1,1,0,2019,2019,1,1,1,0,1,0,0,0,p2,p2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,B1a,NINA,"vs.41d, vs.64",x,0,0,0,0,0,0,0,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,B1a,"vs.41d, vs.64"
all,chr,B3 | Trophic balance,3,3,2,2,2,2,1,2,0,0,0,3,0,1907,1907,5,10,0,0,1,2,0,0,p1,p1,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,2,"B1a, B2","Mdir/NINA, NTNU","nb.16, vs.11, vs.71, vs.74",u,0,0,0,0,0,0,0,,,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,,"B1a, B2","nb.16, vs.11, vs.71, vs.74"
all,chr,C1 | Accessibility-related variables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,2,0,0,0,0,"B2, B3, X",e.01.7,p,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,p,"B2, B3, X",e.01.7
all,chr,C1 | Connectivity & fragmentation of ETs,5,5,3,4,2,3,2,2,1,3,2,0,0,2000,0,1,1,3,0,1,0,1,0,p1,pp,0,0,0,0,0,0,3,0,2,0,0,0,2,0,3,0,4,,"NIBIO, Statens kartverk/NIBIO, Vannmiljø","barriereeffekt, fj.11, fragmenteringsgrad, nb.14, nb.15, vs.02",x,0,6,4,2,0,0,4,,"e.04.7, e.05.6, e.08.6",p,11,8,0,0,0,0,1,1,1,0,0,0,0,7,4,0,0,p,,"barriereeffekt, e.04.7, e.05.6, e.08.6, fj.11, fragmenteringsgrad, nb.14, nb.15, vs.02"
all,chr,"C1 | Landscape naturalness, subgrid natural features",1,1,1,1,1,3,0,0,1,1,0,0,0,1988,1988,5,5,0,0,1,0,0,0,p1,p1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,MDir/NIBIO,"fj.10, sk.13, vs.02",p,0,10,10,0,0,0,10,"A1, B2","e.01.6, e.02.8, e.03.8, e.04.8, e.05.7",p,11,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,p,"A1, B2","e.01.6, e.02.8, e.03.8, e.04.8, e.05.7, fj.10, sk.13, vs.02"
all,chr,xx | Overall ecological status,3,3,3,0,0,3,0,2,1,3,0,0,0,1990,0,1,0,2,0,1,0,0,0,p2,NA,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,0,"A2, B1a, B1b","MDir, NINA, NIVA, Vann-nett, Vannmiljø","MBNEQR, fj.12, overall ecol status, sk.12, vs.06",p,0,12,10,2,0,0,0,"B1, B1b, C1","e.08.8, e.09.6, e.10.4, e.11.3, e.12.3, e.12.6",p,15,0,4,0,0,3,0,0,4,0,0,0,0,13,2,0,0,p,"A2, B1, B1a, B1b, C1","MBNEQR, e.08.8, e.09.6, e.10.4, e.11.3, e.12.3, e.12.6, fj.12, overall ecol status, sk.12, vs.06"
a,all,all,6,6,5,3,3,2,1,5,0,2,2,2,0,2000,2000,1,1,3,3,0,0,0,0,g2,g2,0,3,2,0,0,0,1,0,0,0,0,0,0,6,0,0,3,"A1, B2, B3, C1","Copernicus, NASA","fj.01, sk.01, ur.01, ur.02, ur.03, ur.04",x,2,13,9,6,0,0,9,"A1, A2, B1a, B2, B3, C1, X","!e.01.1, !e.01.2, e.01.3, e.01.4, e.01.5, e.01.6, e.01.7, e.a6",x,21,12,0,0,2,1,0,2,0,0,1,1,0,11,8,2,0,p,"A1, A2, B1a, B2, B3, C1, X","!e.01.1, !e.01.2, e.01.3, e.01.4, e.01.5, e.01.6, e.01.7, e.a6, fj.01, sk.01, ur.01, ur.02, ur.03, ur.04"
a,cls,A1,1,1,1,0,0,2,0,1,0,0,1,0,0,2006,0,3,0,0,1,0,0,0,0,g2,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B2, C1",Copernicus,ur.01,n,1,3,0,4,0,0,2,"A2, C1","!e.01.2, e.01.3",n,5,2,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,n,"A2, B2, C1","!e.01.2, e.01.3, ur.01"
a,cls,A2,1,1,1,1,1,2,0,1,0,0,1,0,0,2018,2018,1,1,1,0,0,0,0,0,p1,p1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,Copernicus,ur.04,n,0,2,0,2,0,0,2,,e.01.4,n,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,n,,"e.01.4, ur.04"
a,cls,B1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
a,cls,B1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
a,cls,B2,4,4,3,2,2,2,1,3,0,2,0,2,0,2000,2000,1,1,2,2,0,0,0,0,g2,g2,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,"A1, B3, C1","Copernicus, NASA","fj.01, sk.01, ur.02, ur.03",x,1,3,4,0,0,0,2,"A1, C1","!e.01.1, e.01.5",p,8,4,0,0,1,0,0,1,0,0,0,1,0,6,0,2,0,p,"A1, B3, C1","!e.01.1, e.01.5, fj.01, sk.01, ur.02, ur.03"
a,cls,B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,0,1,B1a,e.a6,p,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,p,B1a,e.a6
a,cls,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,4,0,0,0,2,"A1, B2, B3, X","e.01.6, e.01.7",p,4,2,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,p,"A1, B2, B3, X","e.01.6, e.01.7"
a,cls,xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
a,chr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,0,1,B1a,e.a6,p,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,p,B1a,e.a6
a,chr,A1 | Air physical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,2,0,0,2,A2,!e.01.2,n,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,n,A2,!e.01.2
a,chr,A1 | Soil physical quality,1,1,1,0,0,2,0,1,0,0,1,0,0,2006,0,3,0,0,1,0,0,0,0,g2,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B2, C1",Copernicus,ur.01,n,0,2,0,2,0,0,0,C1,e.01.3,n,3,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,n,"B2, C1","e.01.3, ur.01"
a,chr,A2 | Air chemical quality,1,1,1,1,1,2,0,1,0,0,1,0,0,2018,2018,1,1,1,0,0,0,0,0,p1,p1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,Copernicus,ur.04,n,0,2,0,2,0,0,2,,e.01.4,n,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,n,,"e.01.4, ur.04"
a,chr,B2 | Total vegetation cover & productivity,3,3,2,1,1,2,1,2,0,1,0,2,0,2000,2000,1,1,2,1,0,0,0,0,g2,g3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,"A1, B3, C1","Copernicus, NASA","fj.01, sk.01, ur.02",u,1,1,2,0,0,0,0,"A1, C1",!e.01.1,p,5,1,0,0,1,0,0,1,0,0,0,1,0,3,0,2,0,p,"A1, B3, C1","!e.01.1, fj.01, sk.01, ur.02"
a,chr,B2 | Tree & shrub layer cover,1,1,1,1,1,2,0,1,0,1,0,0,0,2012,2012,3,3,0,1,0,0,0,0,g2,g2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,Copernicus,ur.03,p,0,2,2,0,0,0,2,,e.01.5,p,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,p,,"e.01.5, ur.03"
a,chr,C1 | Accessibility-related variables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,2,0,0,0,0,"B2, B3, X",e.01.7,p,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,p,"B2, B3, X",e.01.7
a,chr,"C1 | Landscape naturalness, subgrid natural features",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,2,0,0,0,2,A1,e.01.6,p,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,p,A1,e.01.6
b,all,all,4,4,1,3,1,2,3,1,0,3,0,1,0,2010,2010,1,1,4,0,0,0,0,0,p1,p2,0,0,0,0,0,0,1,3,0,0,0,2,2,0,0,0,3,B1b,"BirdLife Norge, Ldir, Mdir, NIBIO, NINA","nb.12, nb.13, nb.19, vs.18",p,2,15,9,8,0,0,5,"B1b, B2, X","!e.02.1, !e.02.2, e.02.3, e.02.4, e.02.5, e.02.6, e.02.7, e.02.8, e.b8",x,21,8,0,1,0,1,0,0,4,2,1,2,1,12,8,1,0,p,"B1b, B2, X","!e.02.1, !e.02.2, e.02.3, e.02.4, e.02.5, e.02.6, e.02.7, e.02.8, e.b8, nb.12, nb.13, nb.19, vs.18"
b,cls,A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,0,4,0,0,0,X,"e.02.4, e.02.5",n,4,0,0,1,0,1,0,0,1,0,0,2,1,0,4,0,0,n,X,"e.02.4, e.02.5"
b,cls,A2,2,2,0,2,0,1,2,0,0,1,0,1,0,2024,0,1,0,2,0,0,0,0,0,p2,NA,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,,NIBIO,"nb.12, nb.13",x,1,3,2,2,0,0,2,,"!e.02.1, e.02.3",x,6,4,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,p,,"!e.02.1, e.02.3, nb.12, nb.13"
b,cls,B1a,1,1,1,1,1,2,0,1,0,1,0,0,0,2010,2010,1,1,1,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,B1b,"BirdLife Norge, Mdir, NIBIO, NINA",vs.18,p,1,1,2,0,0,0,0,B1b,!e.02.2,p,3,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,p,B1b,"!e.02.2, vs.18"
b,cls,B1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
b,cls,B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
b,cls,B3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,p1,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,Ldir,nb.19,p,0,4,2,2,0,0,0,X,"e.02.6, e.02.7",x,5,0,0,0,0,0,0,0,1,2,1,0,0,3,2,0,0,p,X,"e.02.6, e.02.7, nb.19"
b,cls,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,3,0,0,0,3,B2,"e.02.8, e.b8",p,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,p,B2,"e.02.8, e.b8"
b,cls,xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
b,chr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,0,0,1,B2,e.b8,p,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,p,B2,e.b8
b,chr,A1 | Soil physical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,0,2,0,0,0,X,e.02.5,n,2,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,0,n,X,e.02.5
b,chr,A1 | Water physical availability/permanence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,0,2,0,0,0,,e.02.4,n,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,n,,e.02.4
b,chr,A2 | Soil chemical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,0,2,0,0,0,,e.02.3,n,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,n,,e.02.3
b,chr,A2 | Soil organic carbon,2,2,0,2,0,1,2,0,0,1,0,1,0,2024,0,1,0,2,0,0,0,0,0,p2,NA,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,,NIBIO,"nb.12, nb.13",x,1,1,2,0,0,0,2,,!e.02.1,p,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,p,,"!e.02.1, nb.12, nb.13"
b,chr,B1a B1b | Birds abundance & diversity,1,1,1,1,1,2,0,1,0,1,0,0,0,2010,2010,1,1,1,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,B1b,"BirdLife Norge, Mdir, NIBIO, NINA",vs.18,p,1,1,2,0,0,0,0,B1b,!e.02.2,p,3,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,p,B1b,"!e.02.2, vs.18"
b,chr,B3 | Farming intensity,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,p1,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,Ldir,nb.19,p,0,2,2,0,0,0,0,,e.02.6,p,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,p,,"e.02.6, nb.19"
b,chr,B3 | Functions underlying key ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,0,2,0,0,0,X,e.02.7,n,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,n,X,e.02.7
b,chr,"C1 | Landscape naturalness, subgrid natural features",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,2,0,0,0,2,B2,e.02.8,p,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,p,B2,e.02.8
c,all,all,37,12,25,24,7,2,12,25,0,19,3,15,0,1907,2000,1,1,23,0,10,2,2,0,g2,g3,0,1,2,0,0,0,7,25,0,2,0,10,19,5,2,1,24,"B1a, B1b, B2, B3","BirdLife Norge, Ldir, MDir, MDir/NIBIO, Mdir, Mdir/NINA, NASA, NIBIO, NINA, NTNU, Statens kartverk/NIBIO","fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, nb.12, nb.13, nb.16, nb.19, sk.01, sk.02, sk.03, sk.04, sk.10, sk.12, sk.13, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.16, vs.17, vs.18, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.64, vs.71, vs.72, vs.74",x,2,15,11,4,2,0,5,"B1b, B2, B3, X","!e.03.1, !e.03.2, e.03.3, e.03.4, e.03.5, e.03.6, e.03.7, e.03.8, e.c7",x,54,29,1,6,1,2,0,5,3,2,1,2,4,30,7,17,0,p,"B1a, B1b, B2, B3, X","!e.03.1, !e.03.2, e.03.3, e.03.4, e.03.5, e.03.6, e.03.7, e.03.8, e.c7, fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, nb.12, nb.13, nb.16, nb.19, sk.01, sk.02, sk.03, sk.04, sk.10, sk.12, sk.13, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.16, vs.17, vs.18, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.64, vs.71, vs.72, vs.74"
c,cls,A1,2,2,2,1,1,2,0,2,0,0,1,1,0,2019,2019,1,1,2,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,B1a,MDir,"fj.15, sk.03, vs.30",x,0,4,0,4,0,0,0,"B3, X","e.03.3, e.03.4",n,6,1,0,2,0,2,0,0,0,0,1,1,3,0,5,1,0,n,"B1a, B3, X","e.03.3, e.03.4, fj.15, sk.03, vs.30"
c,cls,A2,5,3,3,4,2,2,2,3,0,1,0,4,0,2019,2019,1,1,5,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,4,B1a,"MDir, NIBIO, NINA","fj.13, nb.12, nb.13, sk.02, vs.03, vs.41, vs.41b",u,1,1,2,0,0,0,2,,!e.03.1,p,7,6,0,1,0,0,0,0,0,0,0,0,1,3,0,4,0,p,B1a,"!e.03.1, fj.13, nb.12, nb.13, sk.02, vs.03, vs.41, vs.41b"
c,cls,B1a,11,0,7,9,0,2,4,7,0,9,0,2,0,1990,0,1,0,8,0,3,0,0,0,p1,NA,0,0,0,0,0,0,2,7,0,2,0,9,2,0,0,0,9,"B1b, B2, B3","BirdLife Norge, MDir, Mdir, NIBIO, NINA","fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, sk.04, sk.10, vs.18, vs.29, vs.48",p,1,3,4,0,0,0,0,B1b,"!e.03.2, e.03.5",p,15,9,0,0,0,0,0,2,2,0,0,0,0,13,0,2,0,p,"B1b, B2, B3","!e.03.2, e.03.5, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, sk.04, sk.10, vs.18, vs.29, vs.48"
c,cls,B1b,4,0,4,2,0,2,0,4,0,4,0,0,0,2009,0,1,0,2,0,2,0,0,0,p2,NA,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,2,"B2, B3",NINA,"vs.16, vs.17, vs.37, vs.38, vs.47, vs.50",p,0,0,0,0,0,0,0,,,,4,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,p,"B2, B3","vs.16, vs.17, vs.37, vs.38, vs.47, vs.50"
c,cls,B2,3,2,2,1,1,2,1,2,0,0,1,2,0,2000,2000,1,1,2,0,0,0,1,0,g2,g3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,B3,"NASA, NINA","fj.01, sk.01, vs.05, vs.28",u,0,0,0,0,0,0,0,,,,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,,B3,"fj.01, sk.01, vs.05, vs.28"
c,cls,B3,9,5,7,6,3,2,2,7,0,2,1,6,0,1907,2019,1,1,4,0,3,2,0,0,p1,p2,0,0,0,0,0,0,3,6,0,0,0,1,6,2,0,0,6,"B1a, B2","Ldir, MDir, Mdir/NINA, NIBIO, NINA, NTNU","fj.14, nb.16, nb.19, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.64, vs.71, vs.72, vs.74",u,0,4,2,0,2,0,0,,"e.03.6, e.03.7",x,13,6,0,3,0,0,0,0,0,2,0,0,0,4,1,8,0,p,"B1a, B2","e.03.6, e.03.7, fj.14, nb.16, nb.19, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.64, vs.71, vs.72, vs.74"
c,cls,C1,2,0,0,1,0,1,2,0,0,2,0,0,0,1988,0,5,0,0,0,1,0,1,0,p1,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,,"MDir/NIBIO, Statens kartverk/NIBIO","fj.10, fj.11, sk.13, vs.02",p,0,3,3,0,0,0,3,B2,"e.03.8, e.c7",p,5,4,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,p,B2,"e.03.8, e.c7, fj.10, fj.11, sk.13, vs.02"
c,cls,xx,1,0,0,0,0,1,1,0,0,1,0,0,0,1990,0,5,0,0,0,1,0,0,0,p2,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,B1b,"MDir, NINA","fj.12, sk.12, vs.06",p,0,0,0,0,0,0,0,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,p,B1b,"fj.12, sk.12, vs.06"
